"40","Excellent ","Restaurant excellent, accueil très sympathique. Belle carte , plats originaux et goûteux, une belle cuisine !!"
"50","Fin et original ","Merci! C’était excellent 👌🏻
Nourriture et vins fins et puissants à la fois.. vins originaux et belles découvertes.
Service impeccable.
Bravo"
"40","Super bon","Cuisine raffinée avec une belle présentation . On s'est régalé !
J'aurais bien mangé un peu plus de morceaux de morue en entrée ...
La décoration de la salle manque un peu de chaleur mais l’accueil n'en manque pas .
Nous reviendrons sûrement"
"40","Très bien","Très bon restaurant, pour notre deuxième visite, nous adorons mais un petit plus en assaisonnement serait pas de refus. Mais une complixité pour un stationnement ! Visiter ce restaurant, ça en vaut la peine."
"50","Toujours parfait","Petit restaurant mais grand service ! La carte est souvent renouvelée et toujours avec goût ! Autant de qualité dans les plats que les desserts. C’est toujours un moment agréable de s’y rendre !"
"50","Amelyss","Excellent restaurant un accueil formidable une assiette parfaite de très grande cuisine.
Je le conseille vivement"
"50","Excellent","Nous retournons dans ce restaurant pour la deuxième fois et sommes à nouveau ravis ! Une carte très originale qui change tous les mois et où tout fait envie ! Notre repas était excellent !"
"40","Parfait","Malgré un cadre un peu ""froid"" et qui mériterait une meilleure acoustique, excellent déjeuner avec une cuisine ""audacieuse"", efficace et une technique maîtrisée, le service est bien assuré et l'accueil chaleureux ! Un nombre de couverts volontairement limité pour ce bistrot gastro ""intimiste"", un rapport..."
"50","Excellent ","Très bonne adresse. Joli cadre , cuisine excellente, richesse et originalité des produits sélectionnés, très bons vins, accueil au top et service parfait. Je recommande ce restaurant +++"
"50","Mon restaurant préféré","Que ce soit les menus du midi ou la carte , tout est toujours délicieux, surprenant et tout ça à prix modéré compte tenu de la qualité de cette si belle cuisine . Il est de plus en plus difficile d'y manger sans réserver, mais..."
"50","Rapide, efficace, et très appétissant.","Arrivé presque à l'heure de fermeture de midi, pancarte ""complet"" sur la porte mais 2 petites tables de libre... Aller ! je tente quand même... Accueil très aimable, ""je suis seul et les 2 tables libres, j'ai peu de temps pour manger""...""ok, installez-vous"" 15mn plus..."
"40","repas de midi","facilité de réservation par internet.Beaucoup de choix, rapide et très bonne accueil.excellent serviceRecommande"
"40","BON ET TRES (TROP) COPIEUX","Bonne cuisine régionale mais les quantités sont énormes ! C'en est presque dommage.Sinon le cadre est agréable et peu bruyant malgré la configuration"
"50","Au top !","Super restaurant ! Nous avons été très bien accueilli ! Il y a du choix et il est de qualité ! Les assiettes sont bien remplies !Si vous voulez bien manger et manger local nous vous le conseillons fortement !"
"50","Excellent diner. Personnel charmant","Nous y étions venus pour le gratin dauphinois, nous n'avons pas été déçus. Il était excellent. Le monsieur qui s'est occupé de nous était charmant. A proposé de nous rapporter du gratin dauphinois et nous a même fait un dogy bag. Nous y retournerons avec..."
"50","Très bon et très serviable !","Nous allons 2 à 3 fois par semaine au gratin et tout se passe toujours bien ! La cuisine est simple et très bonne de plus la bière est excellente !
Maxime et Mylène"
"50","Très bon","L'assiette était copieuse, le repas était très bon, le service était rapide, je recommande ce restaurant."
"50","Très bien.","Une belle découverte et un très bon moment passé. La salle est bien décorée et donne une impression d’être dans un lieu familier. Des regards et des sourires s'échangent entre les tables sans êtres intrusifs. Le service parfait, souriant et attentif. A découvrir et redécouvrir."
"30","Sympa","Restaurant très agréable, les plats sont copieux et le service agréable. On regrette un plat avec un fromage de grande qualité (quitté a payer un peu plus cher). Je reviendrai"
"50","Magnifique !","Le personnel était sympathique, la salle calme et agréable, les gratins et desserts exquis ! Pensez à réserver..."
"50","Et si.....on ne pouvais pas oublier","Une parenthèse où l'on s'évade avec une déco originale, un parfum d'ambiance envoûtant, une cuisine d'exception, bref tout est là pour vous et vos papilles.
Vous serez accueillis comme nulle part ailleurs.
Pensez à réserver"
"50","Et si.....on se faisait un bon resto ?","Tout est Régal ! Un accueil des plus chaleureux.
On se sent invité mais chez soi
De petites attentions jusque dans les toilettes.
Je recommande Et si."
"40","Jolie petite salle et bonne cuisine ","Deuxième visite dans ce restaurant.
La cuisine est raffinée et les assiettes sont bien présentées. Je dois regretter cependant un magret de canard un peu trop cuit et des rattes un peu trop fermes.
Pour conclure, un accueil un peu plus souriant aurait été apprécié."
"50","Excellente soirée gourmande !","Accueil des plus sympa dans un décor cosy et original. On s'y sent bien.
Très bon rapport qualité prix. La cuisine est raffinée et délicieuse. Poisson, pavé de boeuf etc... Tout le monde s'est régalé !
Bref, nous y retournerons !"
"50","ET SI...vs y alliez aussi!!","La déco est hyper originale, le cadre chaleureux. La carte offre un nombre de plats raisonnables. Les assiettes sont tres belles et délicieuses.
Tout le personnel est très sympa.
Je recommande!"
"50","Et si et si et si 😋","Moment fort sympatoche dans un endroit joliment décoré dans lequel nos papilles gustatives se sont éclatées!!
Bravo Christian et Charlotte de nous avoir gâtés ...😁
Sandrine de Smlv"
"50","Restaurant très agréable","C'était un repas avec des collègues de travail et nous avons passé un très bon moment. Le repas était délicieux, le dessert excellent, le tout dans une super ambiance.
L'accueil était bien chaleureux et à l'écoute.
A revenir avec grand plaisir, même en famille."
"50","Et si ..j'y retournais avec tous mes amis !","Le lieu est top, les plats sont aussi jolis que bons et le personnel est super sympa! Quoi de mieux ??
Nous y retournerons avec grand plaisir !"
"40","Et si ... tu n'existais pas,...","Il serait difficile de découvrir ce lieu agréablement décoré en mode bistro de quartier... avec des expos photos... et une cuisine de produits frais, inventive et délicieuse. Une carte qui bouge, un endroit où l'on se sent bien.
Et si on y retournait bientôt ?"
"50","Une belle découverte !","Très bel endroit où l’on se sent de suite à l’aise, un accueil avenant et chaleureux et une carte où tout fait envie, il y a même un plat végétarien! On sent qu’ici on travaille les produits frais en accord avec la saison. Cerise sur..."
"50","courrez y à midi!","un restaurant syrien ouvert malheureusement qu'à midi mais ou tout est remarquable: le service hyper souriant, les plats excellents et faits maison (hum le'assiette Chiche Taouk) très copieux, on regrette juste l'étroitesse de la salle mais plein de gens prennent à emporter. AUn excellent rapport..."
"40","Très bon restaurant aux produits frais et savoureux","Les produits servis sont très frais, savoureux. Le service est rapide et le rapport qualité/prix imbattable. Les mezzés sont à 5€ et les assiettes plus que généreuses à 11€"
"50","rapide tres bon","un pur régale les préparation sont au top , service rapide attention y a la queue , s y prendre plutôt à 13H"
"50","Les meilleurs brochettes de poulet qu'on ait mangé","L'extérieur ne paie pas de mine mais la cuisine est vraiment excellente.
A 11€ toutes les differentes assiettes, on ne va pas s'en priver ! Pour notre part, c'est chiche taouk ou assortiment de mezze.
L'assiette de chiche taouk est composee de 2 (tres grandes)..."
"50","Succulent","Nous sommes tombés sous le charme. Les assiettes repartent vide à chaque fois. Les desserts sont délicieux aussi. Même les enfants adorent. D’ailleurs le restaurant est toujours pleins."
"50","Toujours TOP","Enfin ouvert après travaux. Rapport qualité/ prix toujours là, et très bon. Personnel au taquet mais toujours gracieux et agréable."
"50","Excellentes assiettes et mezzes","Une super adresse, populaire et pour une très bonne raison. Les assiettes et les mezzes sont excellentes, l’accueil et le prix sympa. Que demander de plus?
Bravo, continuez !"
"50","Excellent restaurant","Bonjour, enfin après ouverture de ce restaurant que j’attendais avec un impatience, j’y suis allée avec des amis pour manger. Je suis ravis de faire cette découverte que je recommande a tous, excellent service accueil chaleureux avec le sourire et service rapide. Endroit propre et..."
"50","Excellent ","J'y suis allé manger avec mes parents au mois de juillet: Restaurant très bon, excellent rapport qualité/prix, bon personnel. Seul hic : restaurant un peu petit Je recommande"
